artsid;artsnavn
5080;Spidshalet Ryle
5140;Kærløber
5090;Krumnæbbet Ryle
5150;Klireryle
5000;Rødhalset Ryle
5020;Temmincksryle
5160;Prærieløber
4970;Sandløber
5120;Almindelig Ryle
5123;Almindelig Ryle, Engryle (ssp. schinzii)
5121;Almindelig Ryle, Nordlig (ssp. alpina)
5100;Sortgrå Ryle
5060;Bairdsryle
5070;Stribet Ryle
4980;Tyknæbbet Dværgryle
5010;Dværgryle
5050;Hvidrygget Ryle
4640;Ørkenløber
4660;Orientbraksvale
4670;Sortvinget Braksvale
4650;Rødvinget Braksvale
5670;Almindelig Kjove
5680;Lille Kjove
5660;Mellemkjove
5690;Storkjove
6540;Lunde
6380;Tejst
6386;Tejst, Arktisk (ssp. mandtii)
6385;Tejst, Atlantisk (ssp. arcticus)
6381;Tejst, Baltisk (ssp. grylle)
6360;Alk
6361;Alk, Nordlig (ssp. torda)
6362;Alk, Atlantisk (ssp. islandica)
6470;Søkonge
6350;Polarlomvie
6340;Lomvie
6341;Lomvie, Nordlig (ssp. aalge)
6343;Lomvie, Arktisk (ssp. hyperborea)
6342;Lomvie, Britisk (ssp. albionis)
6220;Brilleterne
6240;Dværgterne
6060;Rovterne
6050;Sandterne
6260;Hvidskægget Terne
6280;Hvidvinget Terne
6270;Sortterne
6110;Splitterne
6120;Aztekerterne
6160;Havterne
6150;Fjordterne
6140;Rosenterne
5780;Dværgmåge
6010;Rosenmåge
6020;Ride
5790;Sabinemåge
6040;Ismåge
5850;Tyndnæbbet Måge
5810;Bonapartemåge
5820;Hættemåge
5760;Lattermåge
5770;Præriemåge
5730;Stor Sorthovedet Måge
5880;Audouinsmåge
5750;Sorthovedet Måge
5890;Ringnæbbet Måge
5900;Stormmåge
5901;Stormmåge (ssp. canus)
5902;Stormmåge, Russisk (ssp. heinei)
5930;Kaspisk Måge
5920;Sølvmåge
5928;Sølvmåge, Britisk (ssp. argenteus)
5921;Sølvmåge, Skandinavisk (ssp. argentatus)
5915;Middelhavssølvmåge
5919;Armensk Måge
6000;Svartbag
5990;Gråmåge
5910;Sildemåge
5912;Sildemåge, Britisk (ssp. graellsii)
5913;Sildemåge, Nordsøsildemåge (ssp. intermedius)
5911;Sildemåge, Baltisk (ssp. fuscus)
5922;Sildemåge, Sibirisk Måge (ssp. heuglini)
5960;Gråvinget Måge
5980;Hvidvinget Måge
5981;Hvidvinget Måge (ssp. glaucoides)
5982;Hvidvinget Måge, Baffinmåge (ssp. kumlieni)
5983;Hvidvinget Måge, Inuitmåge (ssp. thayeri)
20;Rødstrubet Lom
40;Islom
