artsid;artsnavn
1645;Dværgsnegås x Bramgås (hybrid)
6240;Dværgterne
4420;Dværgtrappe
18740;Dværgværling
2980;Dværgørn
2058;Dykand hybrid
2059;Dykand sp. (Aythya sp.)
2060;Ederfugl
2063;Ederfugl, Arktisk (ssp. borealis)
3110;Eleonorafalk
8410;Ellekrage
10110;Engpiber
4210;Engsnarre
5180;Enkeltbekkasin
15830;Ensfarvet Stær
11760;Eremitdrossel
1370;[Eremitibis]
3219;Falk sp.
3940;Fasan
16389;Finke sp.
1220;Fiskehejre
3010;Fiskeørn
2900;Fjeldvåge
6150;Fjordterne
6159;Fjordterne/Havterne
1489;Flamingo sp.
12370;Flodsanger
13559;Fluesnapper sp.
2150;Fløjlsand
13140;Fuglekonge
12980;Fuglekongesanger
14420;Fyrremejse
14421;Fyrremejse, Nordlig (ssp. borealis)
14423;Fyrremejse, Pilemejse (ssp. salicarius)
13110;Gransanger
13113;Gransanger, Sibirisk (ssp. tristis)
13114;Gransanger, Skandinavisk (ssp. abietinus)
13111;Gransanger, Sydlig (ssp. collybita)
13119;Gransanger x Løvsanger (hybrid)
1730;Gravand
2559;Grib sp.
12360;Græshoppesanger
16490;Grønirisk
16540;Grønsisken
8560;Grønspætte
8390;Grøn Biæder
12910;Grøn Sanger
1860;Gråand
1867;Gråand x Ederfugl (hybrid)
1895;Gråand x Knarand (hybrid)
1866;Gråand x Moskusand (hybrid)
1869;Gråand x svømmeand sp. (hybrid)
1868;Gråand x Troldand (hybrid)
1610;Grågås
1615;Grågås x Blisgås (hybrid)
1619;Grågås x Bramgås (hybrid)
5990;Gråmåge
7960;Gråsejler
16630;Gråsisken
16632;Gråsisken, Grønlandsk (ssp. rostrata)
16640;Gråsisken, Hvidsisken (ssp. exilipes)
16635;Gråsisken, Lille (ssp. cabaret)
16634;Gråsisken, Nordlig (ssp. flammea)
15910;Gråspurv
15988;Gråspurv/Skovspurv
15989;Gråspurv x Skovspurv (hybrid)
11950;Gråstrubet Drossel
100;Gråstrubet Lappedykker
5960;Gråvinget Måge
13350;Grå Fluesnapper
1659;Grå Gås sp.
18710;Gulbrynet Værling
18760;Gulbrystet Værling
12590;Gulbug
11700;Gulddrossel
3960;[Guldfasan]
8500;Guldspætte
18650;Gulgrå Værling
16400;Gulirisk
7280;Gulnæbbet Gøg
18570;Gulspurv
17330;Gul Sanger
10170;Gul Vipstjert
10179;Gul Vipstjert, Almindelig x Gulhovedet (hybrid)
10172;Gul Vipstjert, Gulhovedet (ssp. flavissima)
10173;Gul Vipstjert, Nordlig (ssp. thunbergi)
10174;Gul Vipstjert, Sorthovedet (ssp. feldegg)
10171;Gul Vipstjert (ssp. flava)
12740;Gærdesanger
12747;Gærdesanger, Sibirisk/Steppe (ssp. blythi/halimodendri)
